name,baseType,dustValIlvl84,dustValIlvl84Q20,slots
Original Sin,Amethyst Ring,2822225,3951115,1
Headhunter,Leather Belt,2227900,3119060,2
Mageblood,Heavy Belt,2227900,3119060,2
Defiance of Destiny,Paua Amulet,2227900,3119060,1
Reefbane,Fishing Rod,2128100,2979340,4
Replica Shroud of the Lightless,Carnal Armour,1979450,2771230,6
Stasis Prison,Carnal Armour,1979450,2771230,6
The Squire,Elegant Round Shield,1921800,2690520,6
Rakiata's Dance,Engraved Greatsword,1921800,2690520,8
Angler's Plait,Unset Ring,1835725,2570015,1
Starforge,Infernal Sword,2638088,3341578,8
Voidforge,Infernal Sword,3517450,4220940,8
Replica Kongor's Undying Rage,Terror Maul,1758725,2462215,8
Echoforge,Infernal Sword,1758725,2462215,8
Lioneye's Glare,Imperial Bow,1707500,2390500,8
Divinarius,Imperial Skean,1707500,2390500,3
Essentia Sanguis,Vaal Claw,1707500,2390500,4
Kingmaker,Despot Axe,1707500,2390500,8
Soul Taker,Siege Axe,1657775,2320885,6
Voltaxic Rift,Spine Bow,1609475,2253265,8
Atziri's Disfavour,Vaal Axe,1609475,2253265,8
Replica Duskdawn,Maelström Staff,1609475,2253265,8
Bloodseeker,Hellion's Paw,1517100,2123940,4
The Saviour,Legion Sword,1517100,2123940,6
Replica Tukohama's Fortress,Ebony Tower Shield,1472900,2062060,8
Kalandra's Touch,Ring,1430000,2002000,1
Bino's Kitchen Knife,Slaughter Knife,1347925,1887095,3
Marohi Erqi,Karui Maul,1308650,1832110,8
The Winds of Fate,Foul Staff,1233525,1726935,8
Hateforge,Ancient Gauntlets,973750,1363250,4
Uul-Netol's Vow,Unset Amulet,917875,1285025,1
Soul Ascension,Carnal Mitts,1191150,1508790,4
Nimis,Topaz Ring,794100,1111740,1
Replica Headhunter,Leather Belt,791750,1108450,2
Yoke of Suffering,Onyx Amulet,590900,827260,1
Manastorm,Lacewood Spirit Shield,525000,735000,4
Replica Bated Breath,Chain Belt,515000,721000,2
Stranglegasp,Onyx Amulet,508200,711480,1
Replica Farrul's Fur,Triumphant Lamellar,466450,653030,6
Kitava's Feast,Void Axe,452875,634025,8
Replica Nebulis,Void Sceptre,452875,634025,6
Malachai's Mark,Murder Mitts,439675,615545,4
Replica Windripper,Imperial Bow,426875,597625,8
Tidebreaker,Imperial Maul,414450,580230,8
Replica Eternity Shroud,Blood Raiment,828900,994680,6
Annihilation's Approach,Dragonscale Boots,414450,580230,4
Eternal Damnation,Agate Amulet,414450,580230,1
Duskdawn,Maelström Staff,402375,563325,8
The Brine Crown,Prophet Crown,390650,546910,4
Replica Atziri's Acuity,Vaal Gauntlets,390650,546910,4
Garukhan's Flight,Stealth Boots,379275,530985,4
Tukohama's Fortress,Ebony Tower Shield,368225,515515,8
